Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

    279   187      256.9972    18      256.1643      257.9200    31907    0.69%x_ENSP0000030293 D    279    278     22
    283   191      256.8028    18      256.1643      257.9200    32016    0.69%x_ENSP0000036053 U    283    282     26
    287   195      256.7578     6      256.1643      257.9200    32116    0.69%x_ENSP0000031928 D    287    286     30
    288   195      256.2561    81      256.1643      257.9200    33002    0.69%          m_1010 N    288    287     31
    292   198      256.2507    69      256.1643      257.9200    33079    0.69%          m_4310 D    292    291     35
    296   198        cutoff            256.1643      257.9200    33275    0.69%x_ENSMUSP0000008 D    296    294     38
    298   200      257.2688     7      256.1643      257.9138    33461    0.68%x_ENSP0000034107 U    298    297     11
    299   201      257.2830    59      256.1643      257.9138    33541    0.68%x_ENSP0000034107 D    299    297     11
    301   203      257.1784     8      256.1643      257.9138    33697    0.68%x_ENSMUSP0000006 D    301    298     12
Elapsed time = 2483.80 sec. (1230513.62 ticks, tree = 12.88 MB, solutions = 4)
    304   206      257.0620    19      256.1643      257.9138    33899    0.68%x_ENSMUSP0000003 D    304    303     15
    308   210      256.9730    11      256.1643      257.9138    33966    0.68%x_ENSP0000035279 U    308    307     19
    309   211      256.9042     7      256.1643      257.9138    33985    0.68%x_ENSP0000035279 D    309    307     19
    313   215      256.8045     5      256.1643      257.9138    34075    0.68%x_ENSP0000026152 D    313    312     23
    314   215      256.1743    12      256.1643      257.9138    34234    0.68%x_ENSP0000039653 N    314    313     24
    315   215      256.1728    14      256.1643      257.9138    34237    0.68%x_ENSP0000036400 D    315    314     25
    318   215      257.0525    54      256.1643      257.9093    34424    0.68%x_ENSP0000032881 U    318     15     13
